Project Code,Invoice Number,Invoice Date,QTY,UNIT PRICE,TOTAL,"Invoiced?
[Y / N]","Invoice 
Remarks","Reason for 
not Invoicing",Entity,Actual Entity,Consultant Name,SCHOOL,Zone,"Programme 
Name",UOM,"Projected 
Amount",January,February,March,March Hols,April,May,June Hols,July,August,September,Sep Hols,October,November,December,"Payment 
Reference",Payment Date,Paid Amount,"Outstanding
Amount","Service 
Consultant"
#NAME?,INVVART1805001d,9-May-18,16,$108.00,"$1,728.00",Y,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-April 2018,PER HR,"$1,728.00",,,,,"$1,728.00",,,,,,,,,,5003390438,05.06.18,"$1,728.00",$0.00,
#NAME?,INVVART1805006e,28th May 2018,19.5,$108.00,"$2,106.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-May 2018,PER HR,"$2,106.00",,,,,,"$2,106.00",,,,,,,,,5003398983,25.06.18,"$2,106.00",$0.00,
#NAME?,INVVART1807001f,2nd Nov 2018,6,$108.00,$648.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-June 2018,PER HR,$648.00,,,,,,,$648.00,,,,,,,,5003414708,30.07.18,648,$0.00,
#NAME?,INVVART1807001G,8-Aug-18,1,"$2,511.00","$2,511.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTLY BILLING-JULY 2018,PER HR,"$2,511.00",,,,,,,,"$2,511.00",,,,,,,5003433578,04.09.18,"2,511.00",$0.00,
#NAME?,INVVART1807001H,1-Oct-18,1,"$1,296.00","$1,296.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-SEPTEMBER BILLING 2018,PER HR,"$1,296.00",,,,,,,,,,"$1,296.00",,,,,5003459673,29.10.18,1296,$0.00,
#NAME?,INVVART1807001I,2nd November 2018,8,$108.00,$864.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-October 2018,PER HR,$864.00,,,,,,,$864.00,,,,,,,,5003473609,27.11.18,864,$0.00,
#NAME?,INVVAjRT1807001J,21-Sep-18,1,$648.00,$648.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School ,EAST,ART CLUB CCA MONTHLY BILLING-AUGUST 2018,PER HR,$648.00,,,,,,,,,$648.00,,,,,,5003453927,16.10.18,648,$0.00,
VART18001,INVVART1811020,26-Nov-18,83.5,$100.00,"$8,350.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORAIN,JUYING SECONDARY SCHOOL,WEST,ART CLUB,PER HR,"$8,350.00",$759.09,$759.09,$759.09,,$759.09,$759.09,,$759.09,$759.09,$759.09,,$759.09,$759.09,$759.10,5003490091,21.12.18,"$8,350.00",$0.00,
VART18002,"INVVART180303 cancelled
INVVART1811018",15-Nov-18,202,$130.00,"$26,260.00",y,billed Term 1 $5934,cancelled can only bill end of yr,ARTELIER PTE LTD,ARTELIER PTE LTD,LINDEN LOKE,Junyuan Primary Sch,EAST,Art Prog,PER PAX,"$26,260.00","$2,917.77","$2,917.77","$2,917.77",,"$2,917.77","$2,917.77",,"$2,917.77","$2,917.77",,,"$2,917.77","$2,917.84",,5003481057,10.12.18,"$26,260.00",$0.00,
VART18003,INVVART1806002,4-Jun-18,1,"$4,500.00","$4,500.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,POOJA,Coral Primary Sch,EAST,Ceramics,PER PAX,"$4,500.00","$2,250.00","$2,250.00",,,,,,,,,,,,,5003402653,02.07.18,"$4,500.00",$0.00,
